1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
95 211 29 29 1
6 254 14 45 0
106 50 31 46 0
11 461 18 27 0
61 489 48 48 1
68 579 0 45 1
66 585 16 13 1
59 433 35 22 0
15 510 23 13 3
58 170 36 16 1
56 583 6 33 3
99 270 12 44 0
118 586 18 45 2
88 457 17 21 0
8 694 28 11 3
99 568 6 30 3
85 243 21 19 1
30 79 46 21 1
66 545 6 23 1
98 453 42 30 0
35 268 3 49 2
34 416 46 25 3
3 592 38 21 0
18 377 47 33 0
34 264 44 41 0
118 202 1 40 0
92 723 1 25 1
34 14 7 48 2
35 696 45 14 2
114 282 16 34 2
78 568 40 19 1
24 408 12 17 1
81 292 34 44 3
45 171 31 23 1
16 58 19 20 3
69 409 26 37 2
57 592 31 11 1
50 264 7 22 2
79 490 16 41 3
66 749 19 11 2
109 5 27 34 2
16 418 49 42 1
12 570 13 29 0
36 569 3 40 0
94 616 32 18 0
13 386 22 38 0
110 422 4 47 0
44 96 30 29 1
48 47 14 45 0
1 140 26 21 1
42 288 37 46 3
44 679 1 25 1
1 79 16 16 2
82 53 29 35 1
54 662 1 18 3
10 232 13 17 2
91 68 3 33 2
85 581 25 22 3
33 129 44 37 0
116 448 33 17 3
12 114 42 40 0
19 554 49 49 0
64 324 45 17 1
88 171 18 33 3
54 676 33 10 0
25 331 4 13 1
7 629 19 25 1
28 179 12 46 0
33 26 10 17 3
101 253 2 16 2
48 493 12 33 2
101 712 41 40 2
69 686 20 17 3
69 749 39 22 2
35 516 20 13 3
1 317 12 46 2
19 529 37 21 2
43 261 9 44 0
4 253 24 49 3
47 204 42 14 0
97 225 16 17 0
104 395 25 39 0
109 169 40 48 2
116 112 24 26 2
1 14 29 14 0
18 161 39 39 1
86 259 12 24 1
93 451 43 41 2
93 649 47 43 0
40 419 42 36 1
51 508 0 22 1
66 285 37 18 0
48 31 39 14 0
5 636 35 40 0
60 647 32 45 1
85 173 7 42 0
82 35 0 21 1
28 102 5 18 3
11 754 45 17 0
53 423 42 34 0
77 457 31 24 2
15 107 8 35 1
82 288 31 19 3
73 444 22 16 2
71 32 9 27 2
4 434 10 25 3
32 699 27 32 3
49 453 0 27 1
83 312 20 39 3
35 599 34 46 2
30 771 43 27 2
75 274 10 44 1
20 359 42 41 2
85 108 2 36 3
64 617 29 22 3
26 712 34 40 0
7 318 7 33 1
24 748 44 17 2
90 551 12 23 1
0 306 45 15 3
64 479 12 19 2
32 280 21 13 3
44 29 48 35 0
104 167 5 17 3
110 236 23 11 3
58 49 30 21 3
84 553 41 19 2
68 49 15 24 0
18 332 29 47 0
6 568 25 37 1
97 265 9 39 0
23 734 29 27 3
58 13 5 16 0
8 791 42 29 3
55 799 4 37 1
24 297 17 10 3
74 709 41 47 3
112 357 8 47 2
76 98 26 16 2
113 397 20 13 0
32 143 14 46 1
57 720 25 27 2
85 523 17 30 1
8 291 38 26 0
83 66 26 46 1
69 517 40 37 1
72 113 24 11 1
88 606 7 43 2
3 500 34 30 3
96 314 33 32 2
44 12 13 19 3
31 643 47 24 3
97 291 43 21 1
39 627 28 22 0
103 41 26 32 2
40 267 40 47 3
68 732 4 31 1
92 390 11 29 2
10 297 32 42 3
52 228 46 29 1
92 437 6 21 2
21 299 25 29 1
73 750 5 27 0
57 269 11 42 0
116 188 8 19 2
14 221 3 40 1
16 483 2 45 2
36 740 17 24 2
56 181 22 16 0
62 60 22 47 1
91 164 27 44 2
98 567 41 34 1
34 649 18 49 2
116 279 32 47 2
14 244 23 15 0
15 244 48 16 0
110 325 0 44 0
5 766 17 49 2
8 139 15 48 0
74 313 40 39 1
116 272 47 15 3
39 591 7 14 3
33 482 20 15 1
90 216 23 30 3
108 658 19 28 2
10 661 47 34 3
69 723 24 18 1
74 78 48 48 2
12 274 21 21 3
51 92 14 27 3
35 789 8 36 2
84 626 3 22 0
55 74 2 24 1
60 341 13 20 1
38 630 25 34 0
64 103 27 14 2
80 510 12 46 2
92 85 47 37 2
48 446 44 33 2
26 36 36 44 3
21 748 43 31 3
72 92 43 45 2
13 46 28 29 3
13 333 15 32 2
115 240 4 39 2
102 165 36 28 3
56 373 5 39 2
47 614 42 36 1
20 140 44 34 0
45 49 20 39 2
21 483 20 15 3
116 533 27 21 3
50 462 27 23 1
117 340 35 29 1
99 627 26 14 0
74 412 30 37 3
108 190 44 43 2
72 291 12 39 0
72 381 24 40 3
104 243 15 18 3
25 194 11 18 3
24 760 17 43 1
41 525 40 39 2
85 630 13 48 2
58 89 39 35 0
87 420 24 48 2
1 789 5 27 0
24 533 40 42 0
14 600 33 43 3
80 328 0 12 0
114 348 2 27 1
85 517 31 25 0
71 411 7 17 2
99 483 16 25 0
4 468 16 26 0
96 619 9 19 3
27 316 46 16 1
32 765 35 18 3
98 284 29 29 0
85 358 19 49 2
100 119 37 20 1
107 771 35 17 1
80 487 40 35 0
100 662 43 23 2
47 311 9 37 0
40 218 36 30 0
98 401 34 38 0
2 365 36 33 2
93 373 8 36 1
113 7 0 28 0
74 410 35 35 3
14 417 23 22 1
52 304 4 45 0
84 660 33 11 3
76 8 2 36 1
89 773 20 46 3
73 253 25 24 0
30 360 40 15 2
95 351 47 19 2
18 112 6 48 0
56 403 18 43 0
17 97 5 44 0
69 726 24 17 2
114 641 14 49 1
6 170 15 49 0
14 528 1 35 0
66 663 10 26 0
15 333 26 16 2
101 360 47 39 2
42 387 35 46 1
66 413 6 37 2
99 773 20 48 0
82 595 28 42 1
3 326 16 18 1
13 260 46 15 3
30 51 45 36 3
85 339 49 27 0
41 711 33 17 2
1 119 40 44 0
62 463 8 32 2
83 622 13 22 0
12 676 46 45 2
44 297 29 45 2
33 777 9 27 1
51 69 36 14 3
27 586 4 47 3
75 483 47 16 0
2 104 12 34 3
93 589 23 46 2
10 716 11 18 1
93 617 31 11 1
37 35 33 41 1
60 597 40 47 2
46 761 45 23 1
19 105 8 10 3
118 443 43 49 0
66 146 48 14 2
83 286 19 40 3
60 757 38 24 2
104 652 40 35 2
116 103 30 32 2
59 658 10 34 0
83 490 27 33 1
39 462 33 18 0
109 266 7 42 2
76 691 40 25 2
94 635 25 48 3
87 12 14 19 0
114 797 13 20 2
50 733 30 38 0
91 120 49 48 1
36 243 26 23 0
30 767 10 19 0
91 451 9 18 1
89 684 35 38 0
37 372 6 39 0
15 663 27 25 1
23 84 46 32 2
104 568 3 12 1
16 38 31 49 0
84 230 31 40 2
19 632 7 22 0
5 752 47 34 3
4 657 46 33 3
86 382 43 24 0
0 189 19 30 1
9 130 42 15 2
34 780 8 30 3
6 128 14 47 0
20 202 18 16 1
94 407 49 16 0
117 737 17 10 3
117 368 28 15 2
78 84 36 47 1
89 676 19 19 0
22 187 20 25 1
47 564 48 14 2
4 232 42 42 3
84 687 3 43 1
89 553 23 14 3
90 95 18 16 0
2 489 3 33 2
33 648 4 39 3
84 682 28 11 1
105 173 18 26 1
40 396 7 30 1
16 484 13 20 0
113 709 30 25 0
29 310 37 28 3
98 444 3 25 0
88 793 47 36 3
53 709 6 20 3
96 602 40 28 3
82 497 27 17 1
93 23 18 36 1
69 156 35 39 2
110 247 34 42 0
35 296 28 40 1
57 679 47 25 3
107 759 42 14 3
29 160 37 33 2
28 37 21 39 1
110 492 17 22 0
14 494 8 44 1
100 598 45 49 3
113 174 24 43 0
59 396 7 12 1
70 407 10 42 1
65 156 48 45 1
26 131 30 17 2
15 395 27 16 1
91 265 47 26 1
89 4 0 42 1
34 203 29 10 1
8 724 38 19 1
63 69 19 48 2
20 281 37 32 1
118 23 15 40 3
56 447 2 38 2
77 585 0 16 0
78 89 37 45 2
41 458 0 28 1
62 438 6 44 3
99 606 25 45 3
24 539 12 18 1
109 236 45 37 0
42 595 43 37 2
31 535 11 11 2
84 510 31 43 3
106 256 20 18 3
119 603 33 16 3
69 163 32 43 3
48 742 12 34 1
62 717 39 11 0
79 256 27 35 3
68 371 21 40 2
68 650 1 45 0
24 530 41 46 1
47 91 2 16 3
40 714 5 33 0
50 772 43 22 2
104 220 36 41 1
30 64 23 46 3
27 543 45 21 3
98 443 31 21 2
30 711 18 15 0
2 425 0 22 3
86 678 10 34 2
47 578 49 49 0
102 755 26 11 3
54 781 43 31 3
10 157 5 34 0
15 628 44 26 2
65 547 45 16 0
21 679 43 32 1
56 700 27 37 3
1 522 39 29 2
110 3 2 17 2
86 77 32 39 0
113 564 44 11 1
63 49 10 19 1
11 580 49 11 1
33 449 9 24 1
73 65 49 25 3
101 667 3 28 0
113 694 20 27 3
2 709 7 11 0
116 206 19 23 3
46 83 16 17 0
117 104 20 10 0
112 651 42 25 3
67 760 11 11 1
56 754 19 41 3
59 646 38 32 3
52 101 12 12 1
14 148 40 43 1
7 239 15 20 0
0 727 35 39 3
66 572 48 30 3
101 225 27 33 2
110 399 21 19 3
27 91 16 45 3
62 427 25 44 2
100 252 4 45 0
110 472 42 37 1
94 444 1 38 1
54 28 10 48 3
6 666 29 48 1
78 447 15 22 2
106 493 38 36 0
69 623 10 10 3
29 66 10 46 3
87 394 0 38 1
67 58 37 28 1
2 398 9 35 1
66 432 33 38 0
39 86 7 15 2
28 30 13 48 3
33 274 27 11 1
61 697 46 37 3
108 110 18 22 1
46 220 14 35 2
67 170 8 27 1
8 663 35 30 2
51 748 42 40 0
49 131 30 20 2
57 737 13 46 0
51 513 12 42 0
115 266 31 22 0
53 764 29 33 2
66 211 22 28 0
102 519 47 33 1
102 553 38 19 2
0 95 38 41 2
0 785 9 21 3
74 520 18 10 2
92 529 3 36 1
40 456 37 33 1
84 92 35 47 3
108 392 40 47 3
62 128 34 28 3
28 74 28 44 1
112 580 15 25 1
112 738 24 16 2
119 413 36 37 0
88 368 2 46 2
92 204 18 33 1
81 716 47 41 1
12 400 9 24 2
4 589 17 27 0
48 693 11 29 1
119 736 24 46 2
115 636 36 39 0
46 165 42 29 1
68 394 1 21 1
103 522 39 39 3
113 307 48 11 1
99 67 5 35 0
66 507 38 25 2
25 587 46 34 0
44 566 7 48 3
11 528 46 29 2
39 305 21 31 0
86 100 6 25 2
62 379 33 29 0
8 203 12 12 1
2 696 18 38 3
92 25 7 45 0
79 599 43 17 1
29 279 5 25 3
1 416 33 24 3
63 776 34 17 3
76 514 13 21 0
45 329 49 44 2
57 299 8 32 3
30 721 22 43 1
109 362 5 49 2
73 352 38 38 3
29 731 16 27 0
49 647 30 34 3
113 576 2 18 3
8 349 46 20 2
60 380 17 14 1
21 562 37 25 0
68 771 29 11 1
119 137 20 44 0
64 79 34 48 1
43 205 29 22 0
41 237 41 43 1
85 414 35 36 2
20 287 30 39 0
71 18 44 45 1
77 640 39 43 0
44 574 4 41 1
30 425 25 48 3
40 71 27 42 3
29 231 7 27 3
112 337 42 29 3
57 672 11 32 3
29 678 48 39 2
10 369 40 30 0
56 588 4 39 0
9 445 2 38 3
20 222 30 27 0
83 449 40 39 0
42 418 0 40 0
34 94 40 25 3
31 98 40 38 3
108 527 49 11 0
24 353 15 46 2
51 299 20 27 3
40 3 28 35 2
95 699 3 17 2
118 629 30 15 0
77 436 9 10 2
17 770 32 44 0
60 23 39 17 3
107 766 38 14 0
99 441 37 30 1
106 639 43 48 3
12 658 49 16 0
109 618 20 46 0
86 475 3 14 0
39 684 33 22 0
70 128 40 21 3
114 630 2 34 2
69 45 15 25 0
34 321 31 40 3
109 187 44 12 3
33 341 31 35 3
112 786 27 10 1
96 310 32 18 1
6 505 26 46 2
76 585 8 34 1
46 179 33 22 0
89 19 27 15 1
1 551 34 37 0
113 653 12 10 0
42 351 19 38 1
19 147 35 48 2
28 432 15 41 1
47 223 27 39 3
22 632 49 48 0
35 179 15 20 0
48 348 33 40 1
22 228 27 46 0
88 510 17 25 1
113 751 5 28 2
110 568 39 20 0
112 402 24 10 0
61 724 34 22 0
86 587 24 38 1
52 6 0 47 1
108 347 31 38 0
15 529 8 20 1
37 552 47 21 2
69 257 41 24 2
78 585 33 41 3
104 45 32 46 3
101 136 9 26 3
104 195 12 40 3
99 129 23 47 3
67 608 5 39 0
98 589 27 16 3
61 200 40 15 3
107 719 43 42 2
13 737 13 13 0
91 613 41 37 0
117 222 41 31 0
98 485 7 39 1
54 195 34 23 3
84 725 3 36 0
54 634 10 16 3
63 196 10 17 0
79 405 31 18 0
2 745 49 42 0
63 198 38 17 2
43 88 23 16 1
87 112 40 41 3
18 180 2 25 0
81 600 45 18 1
8 158 9 24 2
48 256 26 40 3
51 514 43 47 1
78 152 44 35 3
105 435 22 40 0
8 465 9 25 3
74 292 3 31 1
59 72 13 23 3
44 541 43 13 3
66 4 46 20 2
109 399 31 49 3
66 435 12 15 3
11 155 48 17 1
96 1 23 34 0
22 570 0 39 0
76 419 18 11 0
63 570 15 38 2
37 421 41 44 0
77 373 48 17 1
41 185 46 25 3
9 119 41 26 0
103 708 45 34 2
55 194 47 48 0
102 288 3 22 1
28 219 8 17 0
15 0 34 31 2
105 192 17 32 1
28 53 27 12 0
7 462 1 38 2
111 187 19 44 2
93 737 15 34 1
89 752 31 13 3
21 334 10 16 0
66 223 47 48 2
106 347 7 26 0
70 457 0 27 2
54 452 32 24 0
34 696 44 13 3
66 622 44 35 3
100 646 47 20 2
59 339 38 26 1
22 514 3 41 1
18 589 17 15 3
62 718 13 25 1
51 188 34 11 3
40 366 19 42 0
109 295 7 26 0
56 413 28 12 1
80 295 43 15 0
110 284 35 18 1
2 440 34 49 2
2 551 8 11 0
95 530 2 10 3
44 304 9 12 0
32 692 27 46 0
